Player	Team	Gms	Rec	Yds	Avg	YPG	Lg	TD	FD	Tar	YAC
Adam Prentice	NO	4	1	2	2.00	0.5	2	0	0	1	-1
Teagan Quitoriano	HOU	2	1	2	2.00	1.0	2t	1	1	1	0
Richard Rodgers	LAC	7	1	4	4.00	0.6	4	0	0	4	3
Boston Scott	PHI	6	1	2	2.00	0.3	2	0	0	1	0
Ihmir Smith-Marsette	CHI	6	1	15	15.00	2.5	15	0	0	4	5
Keith Smith	ATL	10	1	8	8.00	0.8	8	0	0	2	8
Tommy Sweeney	BUF	3	1	7	7.00	2.3	7	0	1	1	8
J.J. Taylor	NE	1	1	8	8.00	8.0	8	0	0	1	5
Jalen Tolbert	DAL	5	1	4	4.00	0.8	4	0	0	2	1
KaVontae Turpin	DAL	9	1	9	9.00	1.0	9	0	0	2	5
Ke'Shawn Vaughn	TB	8	1	11	11.00	1.4	11	0	1	2	12
Jalen Virgil	DEN	1	1	66	66.00	66.0	66t	1	1	1	40
Dwayne Washington	NO	9	1	7	7.00	0.8	7	0	0	1	6
Trevon Wesco	CHI	9	1	23	23.00	2.6	23	0	1	3	10
Russell Wilson	DEN	8	1	1	1.00	0.1	1	0	0	1	2
Zach Wilson	NYJ	6	1	2	2.00	0.3	2t	1	1	1	0
Juwann Winfree	GB	3	1	17	17.00	5.7	17	0	1	4	5
Bailey Zappe	NE	4	1	-6	-6.00	-1.5	-6	0	0	1	2
Shane Zylstra	DET	5	1	1	1.00	0.2	1t	1	1	2	0
Devin Asiasi	CIN	6	0	0	0.00	0.0	0	0	0	2	0
David Bakhtiari	GB	7	0	0	0.00	0.0	0	0	0	1	0
Tom Brady	TB	10	0	0	0.00	0.0	0	0	0	1	0
Chris Conley	TEN/HOU	4	0	0	0.00	0.0	0	0	0	3	0
Tanner Conner	MIA	9	0	0	0.00	0.0	0	0	0	3	0
Tyrion Davis-Price	SF	3	0	0	0.00	0.0	0	0	0	2	0
Gus Edwards	BAL	2	0	0	0.00	0.0	0	0	0	1	0
Miller Forristall	CLE	4	0	0	0.00	0.0	0	0	0	1	0
Feleipe Franks	ATL	7	0	0	0.00	0.0	0	0	0	2	0
Tanner Gentry	BUF	1	0	0	0.00	0.0	0	0	0	1	0
Josh Gordon	TEN	2	0	0	0.00	0.0	0	0	0	1	0
Danny Gray	SF	5	0	0	0.00	0.0	0	0	0	6	0
Trevor Lawrence	JAX	10	0	0	0.00	0.0	0	0	0	0	0
Stanley Morgan	CIN	7	0	0	0.00	0.0	0	0	0	1	0
Jeremy Ruckert	NYJ	5	0	0	0.00	0.0	0	0	0	1	0
Noah Togiai	PHI	2	0	0	0.00	0.0	0	0	0	1	0
Jake Tonges	CHI	3	0	0	0.00	0.0	0	0	0	1	0
Charlie Woerner	SF	9	0	0	0.00	0.0	0	0	0	2	0
